Auction Start Date,Auction End Date,Product Name,Highest Bid
44904.947916666664,44916.359930555554,Grunnel's +2 Pointy Stick #1,10.25
44904.947916666664,44916.359953703701,Grunnel's +2 Pointy Stick #2,10.25
44904.947916666664,44916.362071759257,Grunnel's +2 Pointy Stick #3,10
44904.947916666664,44916.359988425924,Grunnel's +2 Pointy Stick #4,10
44904.947916666664,44916.360034722224,Gib Gub's Handy Acorn x 4 #1 (4 Tokens),1.25
44904.947916666664,44916.36005787037,Gib Gub's Handy Acorn x 4 #2 (4 Tokens),1.25
44904.947916666664,44916.360081018516,Gib Gub's Handy Acorn x 4 #3 (4 Tokens),2
44904.947916666664,44916.36010416667,Gib Gub's Handy Acorn x 4 #4 (4 Tokens),2
44904.947916666664,44916.360138888886,Gib Gub's Handy Acorn x 4 #5 (4 Tokens),2
44904.947916666664,44916.360162037039,Gib Gub's Handy Acorn x 4 #6 (4 Tokens),2
44904.947916666664,44916.360185185185,Gib Gub's Handy Acorn x 4 #7 (4 Tokens),1.25
44904.947916666664,44916.359837962962,Gib Gub's Handy Acorn x 4 #8 (4 Tokens),1.5
44904.947916666664,44916.362175925926,Amulet of Magnifying x 4 #1 (4 Tokens),1
44904.947916666664,44916.362210648149,Amulet of Magnifying x 4 #2 (4 Tokens),1
44904.947916666664,44916.362233796295,3X Treasure Chips x 4 #1 (4 Tokens),48.5
44904.947916666664,44916.362256944441,3X Treasure Chips x 4 #2 (4 Tokens),48.5
44904.947916666664,44916.362280092595,3X Treasure Chips x 4 #3 (4 Tokens),49
44904.947916666664,44916.362303240741,3X Treasure Chips x 4 #4 (4 Tokens),49
44904.947916666664,44916.362326388888,Potion Healer's Rum x 4 #1 (4 Tokens),4
44904.947916666664,44916.362361111111,Potion Healer's Rum x 4 #2 (4 Tokens),2.76
44904.947916666664,44916.363020833334,Potion Healer's Rum x 4 #3 (4 Tokens),2.76
44904.947916666664,44916.363043981481,Potion Healer's Rum x 4 #4 (4 Tokens),2.8
44904.947916666664,44916.363067129627,"1,000 GP Gold Bar x 4 #1 (4 Tokens)",49
44904.947916666664,44916.36309027778,"1,000 GP Gold Bar x 4 #2 (4 Tokens)",48
44904.947916666664,44916.36310185185,"1,000 GP Gold Bar x 4 #4 (4 Tokens)",48
44904.947916666664,44916.363125000003,"1,000 GP Gold Bar x 4 #3 (4 Tokens)",49
44904.947916666664,44916.36314814815,"1,000 GP Gold Bar x 4 #5 (4 Tokens)",48.5
44904.947916666664,44916.363171296296,"1,000 GP Gold Bar x 4 #6 (4 Tokens)",51
44904.947916666664,44916.363194444442,"1,000 GP Gold Bar x 4 #7 (4 Tokens)",49
44904.947916666664,44916.363217592596,"1,000 GP Gold Bar x 4 #8 (4 Tokens)",51
44904.947916666664,44916.363240740742,"1,000 GP Gold Bar x 4 #9 (4 Tokens)",51
44904.947916666664,44916.363263888888,"1,000 GP Gold Bar x 4 #10 (4 Tokens)",50
44904.947916666664,44916.363287037035,"1,000 GP Gold Bar x 4 #11 (4 Tokens)",50
44904.947916666664,44916.364201388889,10x Alchemist's Inks #1,41
44904.947916666664,44916.364224537036,10x Alchemist's Inks #2,41
44904.947916666664,44916.364236111112,10x Alchemist's Inks #3,39.01
44904.947916666664,44916.364259259259,10x Alchemist's Inks #4,41
44904.947916666664,44916.364282407405,10x Alchemist's Inks #5,40
44904.947916666664,44916.364305555559,Alchemist's Ink (1 Token),5.25
44904.947916666664,44916.364317129628,10x Alchemist's Parchments #1,16.25
44904.947916666664,44916.364340277774,10x Alchemist's Parchments #2,16.25
44904.947916666664,44916.364363425928,10x Alchemist's Parchments #3,16.25
44904.947916666664,44916.364386574074,10x Alchemist's Parchments #4,16.25
44904.947916666664,44916.36440972222,10x Alchemist's Parchments #5,16.25
44904.947916666664,44916.364432870374,Alchemist's Parchment (3 Tokens),5.25
44904.947916666664,44916.364444444444,Aragonite #1,8.25
44904.947916666664,44916.36446759259,Aragonite #2,8
44904.947916666664,44916.364490740743,Aragonite #3,8.25
44904.947916666664,44916.36451388889,Aragonite #4,8
44904.947916666664,44916.364548611113,Aragonite #5,8.25
44904.947916666664,44916.364583333336,Aragonite #6,8
44904.947916666664,44916.364606481482,Aragonite #7,8.25
44904.947916666664,44916.364629629628,Aragonite #8,8.25
44904.947916666664,44916.364652777775,Aragonite #9,8.25
44904.947916666664,44916.364675925928,Aragonite #10,9.75
44904.947916666664,44916.364699074074,Aragonite #11,9.75
44904.947916666664,44916.364722222221,Aragonite #12,10
44904.947916666664,44916.366053240738,10x Darkwood Planks #1,17
44904.947916666664,44916.366076388891,10x Darkwood Planks #2,16
44904.947916666664,44916.366099537037,10x Darkwood Planks #3,17
44904.947916666664,44916.366122685184,10x Darkwood Planks #4,17
44904.947916666664,44916.36614583333,10x Darkwood Planks #5,17
44904.947916666664,44916.366180555553,10x Darkwood Planks #6,17
44904.947916666664,44916.366203703707,10x Darkwood Planks #7,16
44904.947916666664,44916.366226851853,10x Darkwood Planks #8,16.5
44904.947916666664,44916.366249999999,10x Darkwood Planks #9,17.5
44904.947916666664,44916.366273148145,10x Darkwood Planks #10,17
44904.947916666664,44916.366296296299,Darkwood Plank (7 Tokens),10.25
44904.947916666664,44916.366331018522,10x Dwarven Steels #1,46
44904.947916666664,44916.366354166668,10x Dwarven Steels #2,46
44904.947916666664,44916.366377314815,10x Dwarven Steels #3,47
44904.947916666664,44916.366400462961,10x Dwarven Steels #4,47
44904.947916666664,44916.366423611114,10x Dwarven Steels #5,47
44904.947916666664,44916.366446759261,10x Dwarven Steels #6,48
44904.947916666664,44916.366481481484,Dwarven Steel (4 Tokens),21
44904.947916666664,44916.366493055553,Elven Bismuth #1,5.25
44904.947916666664,44916.366527777776,Elven Bismuth #2,5.25
44904.947916666664,44916.366539351853,Elven Bismuth #3,5
44904.947916666664,44916.366574074076,Elven Bismuth #4,5
44904.947916666664,44916.366597222222,Elven Bismuth #5,5.25
44904.947916666664,44916.366620370369,Elven Bismuth #6,5
44904.947916666664,44916.366643518515,Elven Bismuth #7,5
44904.947916666664,44916.366678240738,Elven Bismuth #8,5
44904.947916666664,44916.366701388892,Elven Bismuth #9,5
44904.947916666664,44916.366724537038,Elven Bismuth #10,5.25
44904.947916666664,44916.366747685184,Elven Bismuth #11,5
44904.947916666664,44916.366770833331,Elven Bismuth #12,5
44904.947916666664,44916.366805555554,Elven Bismuth #13,5.25
44904.947916666664,44916.366828703707,Elven Bismuth #14,4.25
44904.947916666664,44916.367777777778,10x Enchanter's Munitions #2,19
44904.947916666664,44916.366886574076,10x Enchanter's Munitions #1,17
44904.947916666664,44916.367800925924,10x Minotaur Hides #1,44
44904.947916666664,44916.367812500001,10x Minotaur Hides #2,44
44904.947916666664,44916.367835648147,10x Minotaur Hides #3,44
44904.947916666664,44916.367858796293,10x Minotaur Hides #4,45
44904.947916666664,44916.367881944447,Minotaur Hide (8 Tokens),29
44904.947916666664,44916.367905092593,10x Mystic Silks #1,16.25
44904.947916666664,44916.369456018518,10x Mystic Silks #2,17
44904.947916666664,44916.369490740741,10x Mystic Silks #3,17
44904.947916666664,44916.369502314818,10x Mystic Silks #4,16.25
44904.947916666664,44916.369525462964,10x Mystic Silks #5,16.25
44904.947916666664,44916.36954861111,10x Mystic Silks #6,17
44904.947916666664,44916.369571759256,10x Mystic Silks #7,16.25
44904.947916666664,44916.36959490741,10x Mystic Silks #8,16.25
44904.947916666664,44916.369618055556,10x Mystic Silks #9,16.25
44904.947916666664,44916.369641203702,10x Mystic Silks #10,16.25
44904.947916666664,44916.369664351849,10x Mystic Silks #11,16.25
44904.947916666664,44916.369687500002,Mystic Silk (7 Tokens),10.75
44904.947916666664,44916.369710648149,Oil of Enchantment #1,5.25
44904.947916666664,44916.369733796295,Oil of Enchantment #2,5.25
44904.947916666664,44916.369756944441,Oil of Enchantment #3,5
44904.947916666664,44916.369780092595,Oil of Enchantment #5,5
44904.947916666664,44916.369803240741,Oil of Enchantment #4,5.25
44904.947916666664,44916.369814814818,Oil of Enchantment #7,5.25
44904.947916666664,44916.369837962964,Oil of Enchantment #6,5
44904.947916666664,44916.36986111111,Oil of Enchantment #8,5.25
44904.947916666664,44916.369895833333,Oil of Enchantment #9,5
44904.947916666664,44916.36991898148,Oil of Enchantment #10,5.25
44904.947916666664,44916.371655092589,10x Philosopher's Stones #1,20
44904.947916666664,44916.371666666666,10x Philosopher's Stones #2,20
44904.947916666664,44916.371689814812,10x Philosopher's Stones #3,26
44904.947916666664,44916.371701388889,10x Philosopher's Stones #4,21
44904.947916666664,44916.371724537035,10x Philosopher's Stones #5,20
44904.947916666664,44916.371747685182,10x Philosopher's Stones #6,20.25
44904.947916666664,44916.371770833335,10x Philosopher's Stones #7,21
44904.947916666664,44916.371782407405,10x Philosopher's Stones #8,20
44904.947916666664,44916.371805555558,10x Philosopher's Stones #9,21
44904.947916666664,44916.371828703705,Philosopher's Stone (5 Tokens),10.25
44904.947916666664,44916.371863425928,10x Philosopher's Stones #10,21.25
