Key,Year,Level,Transmute,Good,GoodYear,ResolvedYear,GoodDisplayName,Quantity,IsSource
2012|Khing's Ring of Supreme Evasion|Mystic Silk||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Mystic Silk,,2012,Mystic Silk,10,FALSE
2012|Khing's Ring of Supreme Evasion|Oil of Enchantment||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Oil of Enchantment,,2012,Oil of Enchantment,2,FALSE
2012|Khing's Ring of Supreme Evasion|Philosopher's Stone||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Philosopher's Stone,,2012,Philosopher's Stone,4,FALSE
2012|Khing's Ring of Supreme Evasion|Wish||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Wish,,2012,Wish Ring,1,FALSE
"2012|Surtr's Girdle of Fire Giant Strength|1,000 GP Gold Bar||FALSE",2012,Legendary,Surtr's Girdle of Fire Giant Strength,"1,000 GP Gold Bar",,2012,"1,000 GP Gold Bar",25,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Alchemist's Ink||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Alchemist's Ink,,2012,Alchemist's Ink,5,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Alchemist's Parchment||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Alchemist's Parchment,,2012,Alchemist's Parchment,12,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Aragonite||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Aragonite,,2012,Aragonite,2,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Darkwood Plank||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Darkwood Plank,,2012,Darkwood Plank,16,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Dwarven Steel||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Dwarven Steel,,2012,Dwarven Steel,16,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Elven Bismuth||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Elven Bismuth,,2012,Elven Bismuth,2,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Enchanter's Munition||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Enchanter's Munition,,2012,Enchanter's Munition,5,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Fleece||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Fleece,,2012,Golden Fleece,1,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Minotaur Hide||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Minotaur Hide,,2012,Minotaur Hide,18,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Mystic Silk||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Mystic Silk,,2012,Mystic Silk,20,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Oil of Enchantment||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Oil of Enchantment,,2012,Oil of Enchantment,3,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Philosopher's Stone||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Philosopher's Stone,,2012,Philosopher's Stone,4,FALSE
2012|Surtr's Girdle of Fire Giant Strength|Wish||FALSE,2012,Legendary,Surtr's Girdle of Fire Giant Strength,Wish,,2012,Wish Ring,1,FALSE
"2012|TaMor's +4 Mithral Bracers|1,000 GP Gold Bar||FALSE",2012,Legendary,TaMor's +4 Mithral Bracers,"1,000 GP Gold Bar",,2012,"1,000 GP Gold Bar",25,FALSE
2012|TaMor's +4 Mithral Bracers|Alchemist's Ink||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Alchemist's Ink,,2012,Alchemist's Ink,2,FALSE
2012|TaMor's +4 Mithral Bracers|Alchemist's Parchment||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Alchemist's Parchment,,2012,Alchemist's Parchment,8,FALSE
2012|TaMor's +4 Mithral Bracers|Aragonite||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Aragonite,,2012,Aragonite,3,FALSE
2012|TaMor's +4 Mithral Bracers|Darkwood Plank||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Darkwood Plank,,2012,Darkwood Plank,16,FALSE
2012|TaMor's +4 Mithral Bracers|Dwarven Steel||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Dwarven Steel,,2012,Dwarven Steel,18,FALSE
2012|TaMor's +4 Mithral Bracers|Elven Bismuth||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Elven Bismuth,,2012,Elven Bismuth,3,FALSE
2012|TaMor's +4 Mithral Bracers|Enchanter's Munition||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Enchanter's Munition,,2012,Enchanter's Munition,8,FALSE
2012|TaMor's +4 Mithral Bracers|Fleece||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Fleece,,2012,Golden Fleece,1,FALSE
2012|TaMor's +4 Mithral Bracers|Minotaur Hide||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Minotaur Hide,,2012,Minotaur Hide,12,FALSE
2012|TaMor's +4 Mithral Bracers|Mystic Silk||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Mystic Silk,,2012,Mystic Silk,6,FALSE
2012|TaMor's +4 Mithral Bracers|Oil of Enchantment||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Oil of Enchantment,,2012,Oil of Enchantment,3,FALSE
2012|TaMor's +4 Mithral Bracers|Philosopher's Stone||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Philosopher's Stone,,2012,Philosopher's Stone,4,FALSE
2012|TaMor's +4 Mithral Bracers|Wish||FALSE,2012,Legendary,TaMor's +4 Mithral Bracers,Wish,,2012,Wish Ring,1,FALSE
"2013|Pharacus' Greater Cloak of Destiny|1,000 GP Gold Bar||FALSE",2013,Legendary,Pharacus' Greater Cloak of Destiny,"1,000 GP Gold Bar",,2013,"1,000 GP Gold Bar",25,FALSE
2013|Pharacus' Greater Cloak of Destiny|Alchemist's Ink||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Alchemist's Ink,,2013,Alchemist's Ink,4,FALSE
2013|Pharacus' Greater Cloak of Destiny|Alchemist's Parchment||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Alchemist's Parchment,,2013,Alchemist's Parchment,8,FALSE
2013|Pharacus' Greater Cloak of Destiny|Aragonite||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Aragonite,,2013,Aragonite,2,FALSE
2013|Pharacus' Greater Cloak of Destiny|Darkwood Plank||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Darkwood Plank,,2013,Darkwood Plank,16,FALSE
2013|Pharacus' Greater Cloak of Destiny|Dwarven Steel||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Dwarven Steel,,2013,Dwarven Steel,12,FALSE
2013|Pharacus' Greater Cloak of Destiny|Elven Bismuth||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Elven Bismuth,,2013,Elven Bismuth,2,FALSE
2013|Pharacus' Greater Cloak of Destiny|Enchanter's Munition||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Enchanter's Munition,,2013,Enchanter's Munition,2,FALSE
2013|Pharacus' Greater Cloak of Destiny|Fleece||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Fleece,,2013,Golden Fleece,1,FALSE
2013|Pharacus' Greater Cloak of Destiny|Minotaur Hide||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Minotaur Hide,,2013,Minotaur Hide,6,FALSE
2013|Pharacus' Greater Cloak of Destiny|Mystic Silk||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Mystic Silk,,2013,Mystic Silk,22,FALSE
2013|Pharacus' Greater Cloak of Destiny|Oil of Enchantment||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Oil of Enchantment,,2013,Oil of Enchantment,2,FALSE
2013|Pharacus' Greater Cloak of Destiny|Philosopher's Stone||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Philosopher's Stone,,2013,Philosopher's Stone,6,FALSE
2013|Pharacus' Greater Cloak of Destiny|Wish||FALSE,2013,Legendary,Pharacus' Greater Cloak of Destiny,Wish,,2013,Wish Ring,1,FALSE
"2014|Asher's +5 Viper Strike Fang|1,000 GP Gold Bar||FALSE",2014,Legendary,Asher's +5 Viper Strike Fang,"1,000 GP Gold Bar",,2014,"1,000 GP Gold Bar",25,FALSE
2014|Asher's +5 Viper Strike Fang|Alchemist's Ink||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Alchemist's Ink,,2014,Alchemist's Ink,4,FALSE
2014|Asher's +5 Viper Strike Fang|Alchemist's Parchment||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Alchemist's Parchment,,2014,Alchemist's Parchment,12,FALSE
2014|Asher's +5 Viper Strike Fang|Aragonite||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Aragonite,,2014,Aragonite,4,FALSE
2014|Asher's +5 Viper Strike Fang|Darkwood Plank||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Darkwood Plank,,2014,Darkwood Plank,18,FALSE
2014|Asher's +5 Viper Strike Fang|Dwarven Steel||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Dwarven Steel,,2014,Dwarven Steel,24,FALSE
2014|Asher's +5 Viper Strike Fang|Elven Bismuth||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Elven Bismuth,,2014,Elven Bismuth,3,FALSE
2014|Asher's +5 Viper Strike Fang|Enchanter's Munition||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Enchanter's Munition,,2014,Enchanter's Munition,2,FALSE
2014|Asher's +5 Viper Strike Fang|Fleece||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Fleece,,2014,Golden Fleece,1,FALSE
2014|Asher's +5 Viper Strike Fang|Minotaur Hide||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Minotaur Hide,,2014,Minotaur Hide,6,FALSE
2014|Asher's +5 Viper Strike Fang|Mystic Silk||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Mystic Silk,,2014,Mystic Silk,4,FALSE
2014|Asher's +5 Viper Strike Fang|Oil of Enchantment||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Oil of Enchantment,,2014,Oil of Enchantment,2,FALSE
2014|Asher's +5 Viper Strike Fang|Philosopher's Stone||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Philosopher's Stone,,2014,Philosopher's Stone,6,FALSE
2014|Asher's +5 Viper Strike Fang|PYP||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,PYP,,2014,Ultra Rare,2,FALSE
2014|Asher's +5 Viper Strike Fang|Wish||FALSE,2014,Legendary,Asher's +5 Viper Strike Fang,Wish,,2014,Wish Ring,1,FALSE
"2014|Io's +4 Ultra Keen Slayer Bow|1,000 GP Gold Bar||FALSE",2014,Legendary,Io's +4 Ultra Keen Slayer Bow,"1,000 GP Gold Bar",,2014,"1,000 GP Gold Bar",25,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Alchemist's Ink||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Alchemist's Ink,,2014,Alchemist's Ink,2,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Alchemist's Parchment||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Alchemist's Parchment,,2014,Alchemist's Parchment,8,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Aragonite||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Aragonite,,2014,Aragonite,3,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Darkwood Plank||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Darkwood Plank,,2014,Darkwood Plank,25,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Dwarven Steel||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Dwarven Steel,,2014,Dwarven Steel,15,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Elven Bismuth||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Elven Bismuth,,2014,Elven Bismuth,2,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Enchanter's Munition||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Enchanter's Munition,,2014,Enchanter's Munition,8,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Fleece||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Fleece,,2014,Golden Fleece,1,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Minotaur Hide||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Minotaur Hide,,2014,Minotaur Hide,6,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Mystic Silk||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Mystic Silk,,2014,Mystic Silk,10,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Oil of Enchantment||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Oil of Enchantment,,2014,Oil of Enchantment,2,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Philosopher's Stone||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Philosopher's Stone,,2014,Philosopher's Stone,4,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|PYP||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,PYP,,2014,Ultra Rare,1,FALSE
2014|Io's +4 Ultra Keen Slayer Bow|Wish||FALSE,2014,Legendary,Io's +4 Ultra Keen Slayer Bow,Wish,,2014,Wish Ring,1,FALSE
"2014|Relsa's Ring of Supreme Focus|1,000 GP Gold Bar||FALSE",2014,Legendary,Relsa's Ring of Supreme Focus,"1,000 GP Gold Bar",,2014,"1,000 GP Gold Bar",25,FALSE
2014|Relsa's Ring of Supreme Focus|Alchemist's Ink||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Alchemist's Ink,,2014,Alchemist's Ink,8,FALSE
2014|Relsa's Ring of Supreme Focus|Alchemist's Parchment||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Alchemist's Parchment,,2014,Alchemist's Parchment,14,FALSE
2014|Relsa's Ring of Supreme Focus|Aragonite||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Aragonite,,2014,Aragonite,1,FALSE
2014|Relsa's Ring of Supreme Focus|Darkwood Plank||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Darkwood Plank,,2014,Darkwood Plank,18,FALSE
2014|Relsa's Ring of Supreme Focus|Dwarven Steel||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Dwarven Steel,,2014,Dwarven Steel,8,FALSE
2014|Relsa's Ring of Supreme Focus|Elven Bismuth||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Elven Bismuth,,2014,Elven Bismuth,1,FALSE
2014|Relsa's Ring of Supreme Focus|Enchanter's Munition||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Enchanter's Munition,,2014,Enchanter's Munition,2,FALSE
2014|Relsa's Ring of Supreme Focus|Fleece||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Fleece,,2014,Golden Fleece,1,FALSE
2014|Relsa's Ring of Supreme Focus|Minotaur Hide||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Minotaur Hide,,2014,Minotaur Hide,3,FALSE
2014|Relsa's Ring of Supreme Focus|Mystic Silk||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Mystic Silk,,2014,Mystic Silk,12,FALSE
2014|Relsa's Ring of Supreme Focus|Oil of Enchantment||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Oil of Enchantment,,2014,Oil of Enchantment,1,FALSE
2014|Relsa's Ring of Supreme Focus|Philosopher's Stone||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Philosopher's Stone,,2014,Philosopher's Stone,16,FALSE
2014|Relsa's Ring of Supreme Focus|Wish||FALSE,2014,Legendary,Relsa's Ring of Supreme Focus,Wish,,2014,Wish Ring,1,FALSE
"2014|Rolland's Ring of Protection +6|1,000 GP Gold Bar||FALSE",2014,Legendary,Rolland's Ring of Protection +6,"1,000 GP Gold Bar",,2014,"1,000 GP Gold Bar",25,FALSE
2014|Rolland's Ring of Protection +6|Alchemist's Ink||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Alchemist's Ink,,2014,Alchemist's Ink,6,FALSE
2014|Rolland's Ring of Protection +6|Alchemist's Parchment||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Alchemist's Parchment,,2014,Alchemist's Parchment,15,FALSE
2014|Rolland's Ring of Protection +6|Aragonite||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Aragonite,,2014,Aragonite,2,FALSE
2014|Rolland's Ring of Protection +6|Darkwood Plank||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Darkwood Plank,,2014,Darkwood Plank,16,FALSE
2014|Rolland's Ring of Protection +6|Dwarven Steel||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Dwarven Steel,,2014,Dwarven Steel,10,FALSE
2014|Rolland's Ring of Protection +6|Elven Bismuth||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Elven Bismuth,,2014,Elven Bismuth,1,FALSE
2014|Rolland's Ring of Protection +6|Enchanter's Munition||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Enchanter's Munition,,2014,Enchanter's Munition,2,FALSE
2014|Rolland's Ring of Protection +6|Fleece||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Fleece,,2014,Golden Fleece,1,FALSE
2014|Rolland's Ring of Protection +6|Minotaur Hide||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Minotaur Hide,,2014,Minotaur Hide,4,FALSE
2014|Rolland's Ring of Protection +6|Mystic Silk||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Mystic Silk,,2014,Mystic Silk,10,FALSE
2014|Rolland's Ring of Protection +6|Oil of Enchantment||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Oil of Enchantment,,2014,Oil of Enchantment,2,FALSE
2014|Rolland's Ring of Protection +6|Philosopher's Stone||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Philosopher's Stone,,2014,Philosopher's Stone,16,FALSE
2014|Rolland's Ring of Protection +6|Wish||FALSE,2014,Legendary,Rolland's Ring of Protection +6,Wish,,2014,Wish Ring,1,FALSE
"2014|Welfor's +5 Slayer Sword|1,000 GP Gold Bar||FALSE",2014,Legendary,Welfor's +5 Slayer Sword,"1,000 GP Gold Bar",,2014,"1,000 GP Gold Bar",25,FALSE
2014|Welfor's +5 Slayer Sword|Alchemist's Ink||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Alchemist's Ink,,2014,Alchemist's Ink,4,FALSE
2014|Welfor's +5 Slayer Sword|Alchemist's Parchment||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Alchemist's Parchment,,2014,Alchemist's Parchment,10,FALSE
2014|Welfor's +5 Slayer Sword|Aragonite||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Aragonite,,2014,Aragonite,4,FALSE
2014|Welfor's +5 Slayer Sword|Darkwood Plank||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Darkwood Plank,,2014,Darkwood Plank,14,FALSE
2014|Welfor's +5 Slayer Sword|Dwarven Steel||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Dwarven Steel,,2014,Dwarven Steel,28,FALSE
2014|Welfor's +5 Slayer Sword|Elven Bismuth||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Elven Bismuth,,2014,Elven Bismuth,4,FALSE
2014|Welfor's +5 Slayer Sword|Enchanter's Munition||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Enchanter's Munition,,2014,Enchanter's Munition,3,FALSE
2014|Welfor's +5 Slayer Sword|Fleece||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Fleece,,2014,Golden Fleece,1,FALSE
2014|Welfor's +5 Slayer Sword|Minotaur Hide||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Minotaur Hide,,2014,Minotaur Hide,6,FALSE
2014|Welfor's +5 Slayer Sword|Mystic Silk||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Mystic Silk,,2014,Mystic Silk,4,FALSE
2014|Welfor's +5 Slayer Sword|Oil of Enchantment||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Oil of Enchantment,,2014,Oil of Enchantment,2,FALSE
2014|Welfor's +5 Slayer Sword|Philosopher's Stone||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Philosopher's Stone,,2014,Philosopher's Stone,6,FALSE
2014|Welfor's +5 Slayer Sword|PYP||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,PYP,,2014,Ultra Rare,1,FALSE
2014|Welfor's +5 Slayer Sword|Wish||FALSE,2014,Legendary,Welfor's +5 Slayer Sword,Wish,,2014,Wish Ring,1,FALSE
"2015|Averon's +5 Deathcleaver|1,000 GP Gold Bar||FALSE",2015,Legendary,Averon's +5 Deathcleaver,"1,000 GP Gold Bar",,2015,"1,000 GP Gold Bar",25,FALSE
2015|Averon's +5 Deathcleaver|Alchemist's Ink||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Alchemist's Ink,,2015,Alchemist's Ink,4,FALSE
2015|Averon's +5 Deathcleaver|Alchemist's Parchment||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Alchemist's Parchment,,2015,Alchemist's Parchment,12,FALSE
2015|Averon's +5 Deathcleaver|Aragonite||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Aragonite,,2015,Aragonite,4,FALSE
2015|Averon's +5 Deathcleaver|Darkwood Plank||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Darkwood Plank,,2015,Darkwood Plank,18,FALSE
2015|Averon's +5 Deathcleaver|Dwarven Steel||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Dwarven Steel,,2015,Dwarven Steel,24,FALSE
2015|Averon's +5 Deathcleaver|Elven Bismuth||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Elven Bismuth,,2015,Elven Bismuth,3,FALSE
2015|Averon's +5 Deathcleaver|Enchanter's Munition||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Enchanter's Munition,,2015,Enchanter's Munition,2,FALSE
2015|Averon's +5 Deathcleaver|Fleece||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Fleece,,2015,Golden Fleece,1,FALSE
2015|Averon's +5 Deathcleaver|Minotaur Hide||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Minotaur Hide,,2015,Minotaur Hide,6,FALSE
2015|Averon's +5 Deathcleaver|Mystic Silk||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Mystic Silk,,2015,Mystic Silk,4,FALSE
2015|Averon's +5 Deathcleaver|Oil of Enchantment||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Oil of Enchantment,,2015,Oil of Enchantment,2,FALSE
2015|Averon's +5 Deathcleaver|Philosopher's Stone||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Philosopher's Stone,,2015,Philosopher's Stone,6,FALSE
2015|Averon's +5 Deathcleaver|PYP||FALSE,2015,Legendary,Averon's +5 Deathcleaver,PYP,,2015,Ultra Rare,2,FALSE
2015|Averon's +5 Deathcleaver|Wish||FALSE,2015,Legendary,Averon's +5 Deathcleaver,Wish,,2015,Wish Ring,1,FALSE
"2015|Drake's +5 Staff of Focus|1,000 GP Gold Bar||FALSE",2015,Legendary,Drake's +5 Staff of Focus,"1,000 GP Gold Bar",,2015,"1,000 GP Gold Bar",25,FALSE
2015|Drake's +5 Staff of Focus|Alchemist's Ink||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Alchemist's Ink,,2015,Alchemist's Ink,8,FALSE
2015|Drake's +5 Staff of Focus|Alchemist's Parchment||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Alchemist's Parchment,,2015,Alchemist's Parchment,20,FALSE
2015|Drake's +5 Staff of Focus|Aragonite||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Aragonite,,2015,Aragonite,1,FALSE
2015|Drake's +5 Staff of Focus|Darkwood Plank||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Darkwood Plank,,2015,Darkwood Plank,8,FALSE
2015|Drake's +5 Staff of Focus|Dwarven Steel||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Dwarven Steel,,2015,Dwarven Steel,8,FALSE
2015|Drake's +5 Staff of Focus|Elven Bismuth||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Elven Bismuth,,2015,Elven Bismuth,3,FALSE
2015|Drake's +5 Staff of Focus|Enchanter's Munition||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Enchanter's Munition,,2015,Enchanter's Munition,2,FALSE
2015|Drake's +5 Staff of Focus|Fleece||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Fleece,,2015,Golden Fleece,1,FALSE
2015|Drake's +5 Staff of Focus|Minotaur Hide||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Minotaur Hide,,2015,Minotaur Hide,1,FALSE
2015|Drake's +5 Staff of Focus|Mystic Silk||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Mystic Silk,,2015,Mystic Silk,6,FALSE
2015|Drake's +5 Staff of Focus|Oil of Enchantment||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Oil of Enchantment,,2015,Oil of Enchantment,2,FALSE
2015|Drake's +5 Staff of Focus|Philosopher's Stone||FALSE,2015,Legendary,Drake's +5 Staff of Focus,Philosopher's Stone,,2015,Philosopher's Stone,12,FALSE
