auctionId,auctionSeason,auctionNumber,category,Item,quantity,priceAugmented
20215,2021,5,token,Shirt of Baneful Prowess,1,$5.00
20215,2021,5,token,Shirt of Blessed Strength,1,$13.00
20215,2021,5,token,Blessed Pants of the Hare,2,$10.00
20218,2021,8,token,Shoes of the Sneak,1,$51.00
20218,2021,8,token,Hat of the Hellway,1,$80.00
20218,2021,8,token,Shaman's Belt,1,$60.00
20219,2021,9,token,Ioun Stone Platinum Nugget,1,$117.00
202110,2021,10,token,Belt of the Brave,1,$11.00
202110,2021,10,token,Charm of Quick Strike,1,$85.00
202110,2021,10,token,5th Tooth of Cavadar,1,$60.00
202111,2021,11,token,Random Ultra Rare,9,$832.50
202111,2021,11,token,Set of 2021 Rare Class Neck Items,1,$9.00
202111,2021,11,token,Set of Hitchhiking Ghosts,1,$36.00
202121,2021,21,token,Random Ultra Rare,9,$720.00
202122,2021,22,token,Shaman's Belt,1,$60.00
202122,2021,22,token,Figurine of Power: Reaver,2,$100.00
202122,2021,22,token,Figurine of Power: Horror,2,$40.00
202122,2021,22,token,Charm of the Faerie,1,$85.00
202123,2021,23,token,+2 Flaming Blade,1,$95.00
202123,2021,23,token,Bracers of Reckless Fury,1,$95.00
202123,2021,23,token,Lenses of Agility,1,$95.00
202123,2021,23,token,Automaton Gear,1,$7.00
202123,2021,23,token,Death Cloak Fabric,1,$7.00
202123,2021,23,token,Semi-Lich Dust,1,$7.00
202124,2021,24,token,Cook's Hat,1,$96.00
202124,2021,24,token,Key of Healing,1,$65.00
202124,2021,24,token,Gloves of Retrieval,2,$11.00
202124,2021,24,token,Boots of Bolting,2,$11.00
202124,2021,24,token,Ioun Stone Jasper Ellipsoid,1,$22.00
202124,2021,24,token,Bracers of the Tavernkeeper,3,$16.50
202124,2021,24,token,Belt of the Brave,2,$32.00
202124,2021,24,token,Automaton Gear,3,$15.00
202124,2021,24,token,Automaton Oil,3,$15.75
202124,2021,24,token,Darkrift Ingot,3,$14.25
202124,2021,24,token,Death Cloak Fabric,3,$14.25
202124,2021,24,token,Semi-Lich Dust,3,$14.25
20233,2023,3,token,Tinker Bit,1,$15.00
20233,2023,3,token,Tinker Bit,1,$15.00
20233,2023,3,token,Earcuff of Freedom,1,$5.00
20233,2023,3,token,Charm of Treasure Boosting,1,$25.00
20233,2023,3,token,Charm of Treasure Boosting,1,$25.00
20233,2023,3,token,Charm of Treasure Boosting,1,$25.00
20233,2023,3,token,Belt of Ogre Mage Power,1,$8.00
20233,2023,3,token,Belt of Ogre Mage Power,1,$8.00
20233,2023,3,token,Steelclad Cloak,1,$5.00
20233,2023,3,token,Golden Ticket Chance,1,$255.00
20233,2023,3,token,Random Ultra Rare,9,$675.00
20236,2023,6,withheld,Ring of the 4th Circle,2,-$169.60
20236,2023,6,withheld,Ring of the 4th Circle,1,-$84.80
20236,2023,6,withheld,Ultra Rare,4,-$320.85
20236,2023,6,withheld,Adventurers' Guild Button,2,-$10.50
20236,2023,6,withheld,Amulet of Magnifying,1,-$0.51
20236,2023,6,withheld,Amulet of Magnifying,1,-$0.51
20236,2023,6,token,Sacred Necklace,1,$206.00
20236,2023,6,token,Mad Evoker's Charm,1,$31.00
20236,2023,6,token,Belt of the Deadshot,1,$81.00
20236,2023,6,token,Bead of Guided Strike,1,$42.00
20236,2023,6,token,Ioun Stone Mystic Orb,1,$101.00
20236,2023,6,token,Figurine of Power Reaver,1,$16.00
20236,2023,6,token,Lucky Kilt,1,$39.00
20236,2023,6,token,Ioun Stone Platinum Nugget,1,$102.00
20236,2023,6,token,Master Ale Drinker's Bead,1,$29.00
202310,2023,10,token,Butterfly Cloak,1,$50.00
202310,2023,10,token,Pants of Focus,1,$50.00
202310,2023,10,token,Amulet of Aiming,1,$65.00
202310,2023,10,token,Mad Evoker's Charm,1,$30.00
202310,2023,10,token,+2 Flaming Blade,1,$65.00
202310,2023,10,token,Mad Evoker's Charm,1,$30.00
202310,2023,10,token,Ring of the Yeti,1,$85.00
202310,2023,10,token,Semi-Lich Skull,1,$60.00
202312,2023,12,token,+3 Turkey Leg of Smiting,1,$70.00
202312,2023,12,token,Necklace of the Spirit Drake,1,$215.00
202312,2023,12,token,Orion's Belt,1,$125.00
202312,2023,12,token,Ioun Stone Sunstone Shard,1,$70.00
202312,2023,12,token,Ring of Fateful Heroism,1,$85.00
202312,2023,12,token,Pants of Focus,1,$41.00
202312,2023,12,token,Shaed,1,$70.00
202312,2023,12,token,Ring of Havoc,1,$80.00
202312,2023,12,token,Redoubt Helm,1,$100.00
202312,2023,12,token,Butterfly Cloak,1,$41.00
202312,2023,12,token,Ring of Heroism,1,$150.00
202312,2023,12,withheld,Patron Pin,1,-$318.11
202321,2023,21,token,Golden Ticket Chance,1,$335.00
202321,2023,21,token,Random Ultra Rare,9,$675.00
202321,2023,21,token,Trick Bag,1,$155.00
202321,2023,21,token,Treat Bag,1,$180.00
202321,2023,21,token,Donations,1,$165.00
202321,2023,21,token,Charm of the Elements,1,$205.00
202321,2023,21,token,Hero Quest,1,$470.00
202325,2023,25,token,Shoes of the Sneak,1,$65.00
202325,2023,25,token,Gloves of the Deadshot,1,$80.00
202325,2023,25,token,+1 Turkey Leg of Smiting,1,$8.00
202325,2023,25,token,Bracers of Reckless Fury,1,$71.00
202325,2023,25,token,Ring of Dire Warning,1,$3.00
202327,2023,27,token,21 Tinker Bits,1,$200.00
202327,2023,27,token,Lucky Set - Charm Kilt Shield,1,$160.00
202327,2023,27,token,Ring of Heroism,1,$120.00
202327,2023,27,token,+3 Turkey Leg of Smiting,1,$50.00
202327,2023,27,token,Bead of the Lucky Traveler,1,$105.00
202327,2023,27,token,Greater Ring of Havoc,1,$230.00
202327,2023,27,token,Amulet of Treasure Finding,1,$365.00
202327,2023,27,token,Wish Ring,1,$185.00
202327,2023,27,token,Belt of the Deadshot,1,$47.00
202327,2023,27,token,Pants of the Panther,1,$30.00
202327,2023,27,token,Death Knight Boots,1,$75.00
202327,2023,27,token,+2 Staff of Power,1,$31.00
202327,2023,27,token,Axe of the Dwarvish Kings,1,$100.00
202327,2023,27,token,Shield of the Scholar (Onyx),1,$45.00
202327,2023,27,token,Cook's Hat,1,$65.00
202327,2023,27,withheld,Patron Pin,1,-$318.11
202327,2023,27,withheld,Path to Enlightenment (Fragment 1),1,-$541.64
202331,2023,31,withheld,Patron Pin,1,-$350.57
202331,2023,31,token,Greater Ring of Havoc,1,$265.00
202331,2023,31,token,Ioun Stone Elfstone Shard,1,$200.00
202331,2023,31,token,Ioun Stone Platinum Nugget,1,$105.00
202331,2023,31,token,Death Knight Mail,1,$55.00
202331,2023,31,token,Ghost Accelerator,1,$85.00
202331,2023,31,token,Shirt of the Nimble,1,$85.00
202331,2023,31,token,Amorgen's Amazing Ocarina (Onyx),1,$85.00
202331,2023,31,token,2022 10x Treasure Chips,1,$31.00
202331,2023,31,token,Tinker Bit 18,1,$12.50
202331,2023,31,token,Tinker Bit 29,1,$18.50
202332,2023,32,grunnel,Holiday Ornament,1,$55.00
202334,2023,34,grunnel,Small Favor Scroll,1,$155.00
202334,2023,34,token,Widseth's Legendary Lute,1,$705.00
202334,2023,34,token,Ring of the Savant,1,$61.00
202334,2023,34,token,Ring of the Savant,1,$51.00
202334,2023,34,token,Gauntlets of Divine Guidance,1,$63.00
202334,2023,34,token,Charm Bracelets,1,$70.00
202334,2023,34,token,Lucky Charm,1,$71.00
202334,2023,34,token,Random Ultra Rare,5,$380.00
202334,2023,34,withheld,Patron Pin,1,-$350.57
202336,2023,36,grunnel,Small Favor Scroll,1,$127.00
202337,2023,37,grunnel,Small Favor Scroll,1,$125.00
202337,2023,37,token,+2 Chaos Cannon,1,$36.00
202337,2023,37,token,Amulet of Aiming,1,$41.00
202337,2023,37,token,Charm of the Faerie,1,$55.00
202337,2023,37,token,Stalker Bead of Skill,1,$470.00
202342,2023,42,grunnel,Small Favor Scroll,1,$95.00
202346,2023,46,grunnel,Small Favor Scroll,1,$106.00
202346,2023,46,token,Greater Bead of Whispers,1,$201.00
202346,2023,46,token,Stalker Bead of Focus,1,$231.00
202346,2023,46,token,Stalker Bead of Skill,1,$236.00
202346,2023,46,token,+2 Chaos Cannon,1,$40.00
202346,2023,46,token,+2 Staff of Power,1,$36.00
202346,2023,46,token,+2 Sun Scimitar,1,$51.00
202346,2023,46,token,Cloak of Retribution,1,$42.00
202346,2023,46,token,Cloak of Retribution,1,$43.00
202346,2023,46,token,Gauntlets of Divine Guidance,1,$46.00
202346,2023,46,token,Ioun Stone Fluorite Sphere,1,$51.00
202346,2023,46,token,Lucky Kilt (Onyx),1,$40.00
202346,2023,46,token,Necklace of the Zephyr,1,$41.00
202347,2023,47,grunnel,Small Favor Scroll,1,$80.00
202347,2023,47,grunnel,2007 Prop,1,$80.00
202348,2023,48,grunnel,Small Favor Scroll,1,$100.00
202349,2023,49,token,"25,000 GP Reserve Bar",1,$250.00
202349,2023,49,token,Lucky Plate Armor,1,$60.00
202349,2023,49,grunnel,Old Token Mat,1,$30.00
202349,2023,49,grunnel,Small Favor Scroll,1,$100.00
202349,2023,49,grunnel,Prove Fear Prop,1,$60.00
202349,2023,49,grunnel,Symbol of Discord Prop,1,$10.00
202349,2023,49,withheld,Ultra Rare,2,-$184.41
202350,2023,50,token,Starhide Robe,1,$170.00
202350,2023,50,token,Boots of Protection,1,$180.00
202350,2023,50,token,+2 Sun Scimitars (2),1,$150.00
202350,2023,50,token,Ring of the 5th Circle,1,$200.00
202350,2023,50,token,Transmute Lot,1,$85.00
202350,2023,50,token,Tome of Useful Scrolls + Scrolls,1,$115.00
202350,2023,50,token,Chance at AoTF,1,$125.00
202350,2023,50,grunnel,Small Favor Scroll,1,$95.00
202350,2023,50,grunnel,GibGub Snack,1,$60.00
202350,2023,50,grunnel,Tesseract,1,$41.00
202350,2023,50,grunnel,Old Token Mat,1,$6.25
202350,2023,50,grunnel,Eyebite Plushie,1,$160.00
202350,2023,50,withheld,Path to Enlightenment (Fragment 1),1,-$541.64
202351,2023,51,grunnel,Small Favor Scroll,1,$105.00
202351,2023,51,grunnel,Gib Gub's Lost Token,1,$220.00
202351,2023,51,grunnel,Sellenwa's Seal,1,$56.00
202351,2023,51,grunnel,Goblin Rum barrel caps,1,$81.00
202351,2023,51,grunnel,2009 Rare token prop,1,$130.00
202351,2023,51,token,Bead of Dark Resistance,1,$61.00
202351,2023,51,token,Ioun Stone Mystic Orb,1,$36.00
202351,2023,51,token,Charm Bracelets,1,$51.00
202351,2023,51,token,Silver Ship Passage: Mirthwood,1,$86.00
202351,2023,51,token,Boots of Protection,1,$120.00
202351,2023,51,token,Totem of Heroism,1,$505.00
202351,2023,51,withheld,Path to Enlightenment (Fragment 1),1,-$541.64
20242,2024,2,withheld,Ring of the 3rd Circle,1,-$104.36
20242,2024,2,withheld,Ring of the 3rd Circle,1,-$104.36
20242,2024,2,withheld,Mark of the 3rd Tenet,1,-$98.07
20242,2024,2,withheld,Adventurers' Guild Button,1,#VALUE!
20242,2024,2,withheld,Adventurers' Guild Button,1,#VALUE!
20242,2024,2,token,Greater Ring of Havoc,1,$180.00
20242,2024,2,token,Shirt of the Shrewd,1,$87.00
20242,2024,2,token,Gauntlets of Divine Guidance,1,$51.00
20242,2024,2,token,Figurine of Power Phoenix,1,$46.00
20242,2024,2,token,Druegar's Death Die,1,$71.00
20242,2024,2,token,Ioun Stone Kryanite Cube,1,$51.00
20242,2024,2,token,Necklace of the Zephyr,1,$51.00
20242,2024,2,token,Necklace of the Sweetwoods,1,$50.00
20242,2024,2,token,Greater Bead of Binding,1,$11.00
20242,2024,2,token,Cloak of Retribution,1,$71.00
20242,2024,2,token,Lenses of Flawsight,1,$26.00
20242,2024,2,token,Tankard of Celebration,1,$5.00
20242,2024,2,token,Set of Stalker Bits,1,$25.00
20242,2024,2,token,Stalker Bead of Skill,1,$280.00
20244,2024,4,token,Pudnort's Scroll of Demonic Deeds,1,$110.00
20244,2024,4,withheld,Ring of the 3rd Circle,1,-$104.36
20244,2024,4,withheld,Mark of the 3rd Tenet,1,-$98.07
20244,2024,4,withheld,Treasure Chip (each),1,-$132.86
20244,2024,4,token,Totem of Heroism,1,$505.00
20244,2024,4,grunnel,Small Favor Scroll,1,$70.00
20244,2024,4,token,Auri's Candle,1,$115.00
20244,2024,4,token,Charm of the Fire Newt,1,$5.00
20244,2024,4,token,Bead of the Lucky Traveler,1,$45.00
20244,2024,4,token,Greater Shaman's Necklace,1,$110.00
20244,2024,4,token,Charm of Autumn,1,$45.00
20244,2024,4,token,Shirt of the Shrewd,1,$50.00
20244,2024,4,token,Charm of the Elements,1,$100.00
20244,2024,4,token,Grunnel Funnel,1,$50.00
20246,2024,6,withheld,Patron Pin,1,-$392.49
20246,2024,6,withheld,Path to Enlightenment (Fragment 2),1,"-$1,049.27"
20246,2024,6,token,Ring of the 5th Circle,1,$175.00
20246,2024,6,token,Ring of the 4th Circle,1,$160.00
20246,2024,6,token,Necklace of the Spirit Drake,1,$145.00
20246,2024,6,token,+3 Throwing Hammer of Smiting,1,$105.00
20246,2024,6,token,Stalker Bead of Skill,1,$180.00
20246,2024,6,token,Charm of Brooching,1,$140.00
20246,2024,6,token,Shirt of the Nimble,1,$95.00
20246,2024,6,token,Shirt of the Imbiber,1,$95.00
20246,2024,6,token,Kilt of Dungeonbane,1,$200.00
202413,2024,13,withheld,Ring of the 3rd Circle,1,-$104.36
202413,2024,13,withheld,Ring of the 3rd Circle,1,-$104.36
202413,2024,13,withheld,Ring of the 3rd Circle,1,-$104.36
202413,2024,13,withheld,Ring of the 3rd Circle,1,-$104.36
202413,2024,13,withheld,Mark of the 3rd Tenet,1,-$98.07
202413,2024,13,withheld,Mark of the 3rd Tenet,1,-$98.07
202413,2024,13,token,Greater Bead of Whispers,1,$160.00
202413,2024,13,token,+3 Turkey Leg of Smiting,1,$55.00
202413,2024,13,token,Boots of Protection,1,$100.00
202413,2024,13,token,Medallion of Valhalla,1,$51.00
202413,2024,13,token,Ioun Stone Infernal Prism,1,$80.00
202413,2024,13,token,Greater Garnet Charm,1,$70.00
202413,2024,13,token,Ioun Stone Mystic Orb,1,$50.00
202413,2024,13,token,Ioun Stone Fluorite Sphere,1,$36.00
202413,2024,13,token,Ioun Stone Sunstone Shard,1,$41.00
202413,2024,13,token,Death Knight Mail,1,$40.00
202413,2024,13,token,Butterfly Cloak,1,$65.00
202413,2024,13,token,Bead of Focus,1,$70.00
202413,2024,13,token,Bead of Guided Strike,1,$75.00
202413,2024,13,token,Boots of Puhweehwa,1,$46.00
202413,2024,13,token,Goggles of the Deadshot,1,$80.00
202413,2024,13,token,5th Tooth of Cavadar,1,$10.50
202413,2024,13,token,Set of Stalker Bits,1,$25.00
202415,2024,15,withheld,Path to Enlightenment (Fragment 2),1,"-$1,049.27"
202415,2024,15,withheld,Ring of the 3rd Circle,1,-$104.36
202415,2024,15,withheld,Ring of the 3rd Circle,1,-$104.36
202415,2024,15,withheld,Ring of the 3rd Circle,1,-$104.36
202415,2024,15,withheld,Ring of the 3rd Circle,1,-$104.36
202415,2024,15,withheld,Patron Pin,1,-$392.49
202415,2024,15,token,Random Ultra Rare,4,$45.50
202415,2024,15,token,Greater Charm Bracelets,1,$196.00
202415,2024,15,token,Greater Bead of Whispers,1,$146.00
202415,2024,15,token,Ring of the 5th Circle,1,$175.00
202415,2024,15,token,Ring of the 5th Circle,1,$176.00
202415,2024,15,token,Ring of the 4th Circle,1,$150.00
202415,2024,15,token,Ring of the 4th Circle,1,$150.00
202415,2024,15,token,Amulet of Treasure Finding,1,$306.00
202415,2024,15,token,Figurine of Power Phoenix,1,$46.00
202415,2024,15,token,Arcane Charm,1,$52.00
202415,2024,15,token,Lenses of Flawsight,1,$50.00
202415,2024,15,token,Ioun Stone Kyanite Cube,1,$37.00
202415,2024,15,token,Ring of Havoc,1,$41.00
202415,2024,15,token,Alchemist's Ink (Bundle),1,$14.70
202415,2024,15,token,Alchemist's Parchment (Bundle),1,$13.30
202415,2024,15,token,"1,000 GP Gold Bar (Bundle)",1,$405.00
202415,2024,15,token,Darkwood Plank (Bundle,1,$42.00
202415,2024,15,token,Dwarven Steel (Bundle),1,$24.00
202415,2024,15,token,Elven Bismuth (Bundle),1,$51.00
202415,2024,15,token,Minotaur Hide (Bundle),1,$31.00
202415,2024,15,token,Mystic Silk (Bundle),1,$91.20
202415,2024,15,token,Oil of Enchantment (Bundle),1,$20.00
202415,2024,15,token,Philosopher's Stone (Bundle),1,$56.00
202420,2024,20,token,Boots of Puhweehwa,1,$31.00
202420,2024,20,token,Death Knight Armor,1,$55.00
202420,2024,20,token,Set of Stalker Bits,1,$5.00
202420,2024,20,token,Lucky Kilt,1,$26.00
202420,2024,20,token,Ioun Stone Fluorite Sphere,1,$20.00
202420,2024,20,token,Shirt of the Fae,1,$20.00
202420,2024,20,token,Grunnel's +2 Pointy Stick,1,$20.00
202420,2024,20,token,Lucky Light Mail,1,$41.00
202420,2024,20,token,Gauntlets of Divine Guidance,1,$60.00
202420,2024,20,token,Belt of the Deadshot,1,$55.00
202420,2024,20,token,Gloves of the Deadshot,1,$40.00
202420,2024,20,token,Goggles of the Deadshot,1,$55.00
202420,2024,20,token,Wish Ring,1,$150.00
202422,2024,22,token,Mage Medallion,1,$70.00
202422,2024,22,token,Stalker Bead of Focus,1,$85.00
202422,2024,22,token,Boots of Protection,1,$95.00
202422,2024,22,token,Skull of Batterak,1,$150.00
202422,2024,22,token,+2 Mug of Battle,1,$30.00
202422,2024,22,token,Psyferre's Spectacles,1,$50.00
202422,2024,22,token,Belt of the Deadshot,1,$50.00
202422,2024,22,token,Key of Healing,1,$30.00
202422,2024,22,token,Bead of Dark Resistance,1,$50.00
202424,2024,24,token,Orion's Belt,1,$86.00
202424,2024,24,token,Ioun Stone Elfstone Shard,1,$110.00
202424,2024,24,token,Ring of the Savant,1,$37.00
202424,2024,24,token,+2 Deathcleaver,1,$89.00
202424,2024,24,token,Gauntlets of Divine Guidance,1,$47.00
202424,2024,24,token,Boots of Puhweehwa,1,$27.00
202424,2024,24,token,Medallion of Valhalla,1,$26.00
202424,2024,24,token,Ioun Stone Fluorite Sphere,1,$11.00
202424,2024,24,token,Charm of the Elements,1,$77.00
202424,2024,24,token,+2 Staff of Power,1,$22.00
202424,2024,24,token,+2 Chaos Cannon,1,$31.00
202424,2024,24,token,+1 Turkey Leg of Smiting,1,$5.25
202424,2024,24,token,+1 Mighty Short Bow,1,$41.00
202424,2024,24,token,6th Tooth of Cavadar,1,$11.00
202424,2024,24,token,7th Tooth of Cavadar,1,$11.00
202424,2024,24,token,6th Charm of Transmorph,1,$6.00
202424,2024,24,token,10th Charm of Transmorph,1,$6.00
202424,2024,24,grunnel,Smart Token Prop,1,$51.00
202424,2024,24,grunnel,Hireling Baker,1,$210.00
202424,2024,24,grunnel,Acorn from Felurian's Feast room 1 puzzle,1,$31.00
20251,2025,1,token,Gregor's Gladiator Gloves,1,$810.00
20251,2025,1,token,Totem of Heroism (2022),1,$655.00
20251,2025,1,token,Ring of the 3rd Circle,1,$90.00
20251,2025,1,token,Ring of Heroism (2015),1,$180.00
20251,2025,1,token,Orb of Annihiliation,1,$100.00
20251,2025,1,token,Orb of Annihiliation,1,$100.00
20251,2025,1,token,Ring of Psychic Mastery,1,$105.00
20251,2025,1,token,Ring of Psychic Mastery,1,$105.00
20251,2025,1,token,Stalker Bead of Focus,1,$180.00
20251,2025,1,token,+3 Savage Sword,1,$120.00
20251,2025,1,token,Greater Gloves of the Gladiator,1,$105.00
20251,2025,1,token,Soul Coffer (2018 Onyx),1,$90.00
20251,2025,1,token,Charm of Treasure Boosting (2019),1,$13.00
20251,2025,1,token,Blessed Tempest Gloves (2018),1,$11.00
20251,2025,1,token,Belt of Ogre Mage Power (2019),1,$10.00
20251,2025,1,token,Lenses of the Owl (2020),1,$1.00
20251,2025,1,token,Charm of Divine Gifts,1,$60.00
20251,2025,1,token,Charm of Divine Gifts,1,$60.00
20251,2025,1,token,Bead of Horus,1,$20.00
20251,2025,1,token,Bead of Horus,1,$20.00
20251,2025,1,token,Bead of Horus,1,$20.00
20251,2025,1,token,Bracers of the Inferno,1,$20.00
20251,2025,1,token,Bracers of the Inferno,1,$20.00
20251,2025,1,token,Lenses of Sage Sight,1,$10.00
20251,2025,1,token,Lenses of Sage Sight,1,$10.00
20251,2025,1,token,Charm of Shared Recovery,1,$65.00
20251,2025,1,token,Charm of Shared Recovery,1,$65.00
20251,2025,1,token,Kilt of Divine Healing,1,$60.00
20251,2025,1,token,Gloves of the Gladiator,1,$30.00
20251,2025,1,token,Boots of Brawling,1,$65.00
20251,2025,1,token,Questor's Charm of Luck (2019),1,$55.00
20251,2025,1,token,Ioun Stone: Kyanite Cube (2023),1,$40.00
20251,2025,1,token,Armor of the Ancients,1,$60.00
20251,2025,1,token,Ring of the Ancients,1,$65.00
20251,2025,1,token,Robe of the Ancients,1,$65.00
20251,2025,1,token,Charm of the Ancients,1,$60.00
20251,2025,1,token,Set of Base Transmute Items - Ring of Psychic Mastery,1,$39.00
20251,2025,1,token,Set of Base Transmute Items - Ring of Psychic Mastery,1,$39.00
20251,2025,1,token,Set of Base Transmute Items - Charm of Divine Gifts,1,$28.00
20251,2025,1,token,Set of Base Transmute Items - Charm of Divine Gifts,1,$28.00
20251,2025,1,token,Bead of the Third Eye,1,$2.00
20251,2025,1,token,Bead of the Third Eye,1,$2.00
20251,2025,1,token,Pendant of Psychic Power,1,$2.00
20251,2025,1,token,Pendant of Psychic Power,1,$2.00
20251,2025,1,token,Charm of Aset,1,$5.00
20251,2025,1,token,Charm of Ra,1,$10.00
20251,2025,1,token,Charm of Ra,1,$10.00
20251,2025,1,token,Charm of Ra,1,$10.00
20251,2025,1,token,Charm of Ra,1,$10.00
20251,2025,1,token,Charm of Providence,1,$2.00
20251,2025,1,token,Charm of Distant Melody,1,$5.00
20251,2025,1,token,Ring of Favor,1,$5.00
20251,2025,1,token,Ring of Favor,1,$5.00
20251,2025,1,token,Ioun Stone: Opal Prism,1,$5.00
20251,2025,1,token,Ring of the Norns,1,$3.00
20251,2025,1,token,Onyx Charm,1,$45.00
20251,2025,1,token,Ioun Stone: Beryl Prism,1,$10.00
20251,2025,1,token,Relsa's Ring of Supreme Focus base tokens,1,$75.00
20251,2025,1,token,50GP Idol: Lion,1,$20.00
20251,2025,1,token,50GP Idol: Tortoise,1,$20.00
20251,2025,1,token,50GP Idol: Locust,1,$20.00
20251,2025,1,token,50GP Idol: Locust,1,$20.00
20251,2025,1,token,50GP Idol: Ram,1,$20.00
20251,2025,1,token,50GP Idol: Meerkat,1,$20.00
20251,2025,1,token,50GP Idol: Goose,1,$20.00
20251,2025,1,withheld,Ring of the 2nd Circle,2,-$157.59
20251,2025,1,withheld,Mark of the 2nd Tenet,2,-$162.07
20251,2025,1,withheld,Patron Pin,1,-$309.45
20251,2025,1,withheld,Path to Enlightenment (Fragment 3),1,"-$1,331.72"
20251,2025,1,withheld,Wish Ring,1,-$167.41
20251,2025,1,withheld,Aragonite,78,-$766.05
20251,2025,1,withheld,Alchemist's Ink,78,-$233.67
20251,2025,1,withheld,Alchemist's Parchment,106,-$244.89
20251,2025,1,withheld,Darkwood Plank,226,-$309.86
20251,2025,1,withheld,Dwarven Steel,80,-$230.17
20251,2025,1,withheld,Elven Bismuth,24,-$278.36
20251,2025,1,withheld,Enchanter's Munition,40,-$264.07
20251,2025,1,withheld,Minotaur Hide,96,-$408.36
20251,2025,1,withheld,Mystic Silk,230,-$320.28
20251,2025,1,withheld,Oil of Enchantment,20,-$348.00
20251,2025,1,withheld,Philosopher's Stone,220,-$509.99
20251,2025,1,withheld,"1,000 GP Gold Bar",90,-$859.54
20251,2025,1,withheld,Wish Ring,2,-$261.93
20251,2025,1,withheld,Ultra Rare,15,"-$1,050.23"
20251,2025,1,token,Random Ultra Rare,18,$900.00
20255,2025,5,withheld,Ring of the 2nd Circle,4,-$315.18
20255,2025,5,withheld,Mark of the 2nd Tenet,2,-$162.07
20255,2025,5,token,Greater Bead of Whispers,1,$105.00
20255,2025,5,token,Boots of Protection,1,$46.00
20255,2025,5,token,Lucky Cloak,1,$85.00
20255,2025,5,token,Gregor's Tome of Focus,1,$70.00
20255,2025,5,token,Earcuff of the Ravager,1,$55.50
20255,2025,5,token,Shirt of the Shrewd,1,$41.00
20255,2025,5,token,Figurine of Power: Pixie,1,$15.50
20255,2025,5,token,Ioun Stone Sunstone Shard,1,$65.00
20255,2025,5,token,Ring of the Drake,1,$41.25
20255,2025,5,token,Ioun Stone Fluorite Sphere,1,$41.00
20255,2025,5,token,Lenses of Agility,1,$75.25
20255,2025,5,token,Bracers of Reckless Fury,1,$41.00
20255,2025,5,token,Pants of Focus,1,$31.00
20255,2025,5,token,Nightshade's +2 Throwing Dagger,1,$36.00
