auctionId,item(DisplayName),quantity,n_prior_sales_in_lookback,old_value,new_PIT_value,delta,status,lookback_auctions,direction
20251,Aragonite,78,10,-766.05,-751.53,14.52,recomputed,202517;202521;202522;202523;202524,back
20251,Darkwood Plank,226,10,-312.12,-269.39,42.73,recomputed,202517;202521;202522;202523;202524,back
20251,Dwarven Steel,80,10,-230.17,-222.08,8.09,recomputed,202517;202521;202522;202523;202524,back
20251,Elven Bismuth,24,10,-278.36,-278.52,-0.16,recomputed,202517;202521;202522;202523;202524,back
20251,Enchanter's Munition,40,10,-264.07,-262.08,1.99,recomputed,202517;202521;202522;202523;202524,back
20251,Mark of the 2nd Tenet,2,10,-162.07,-158.91,3.16,recomputed,202517;202521;202522;202523;202524,back
20251,Minotaur Hide,96,10,-408.36,-429.41,-21.05,recomputed,202517;202521;202522;202523;202524,back
20251,Mystic Silk,230,10,-320.28,-281.52,38.76,recomputed,202517;202521;202522;202523;202524,back
20251,Oil of Enchantment,20,10,-348,-312.3,35.7,recomputed,202517;202521;202522;202523;202524,back
20251,Path to Enlightenment (Fragment 3),1,5,-1324.53,-1379.4,-54.87,recomputed,202517;202521;202522;202523;202524,back
20251,Patron Pin,1,5,-309.45,-352.19,-42.74,recomputed,202517;202521;202522;202523;202524,back
20251,Philosopher's Stone,220,10,-509.99,-507.98,2.01,recomputed,202517;202521;202522;202523;202524,back
20251,Ring of the 2nd Circle,2,10,-157.59,-170.6,-13.01,recomputed,202517;202521;202522;202523;202524,back
20251,Chosen Ultra Rare,15,10,-1050.23,-1059.46,-9.23,recomputed,202517;202521;202522;202523;202524,back
20251,Wish Ring,1,5,-164.55,-135.2,29.35,recomputed,202517;202521;202522;202523;202524,back
20251,Wish Ring,2,5,-261.93,-270.4,-8.47,recomputed,202517;202521;202522;202523;202524,back
20255,Mark of the 2nd Tenet,2,8,-162.07,-161.94,0.13,recomputed,20251;202519;202523;202524;202526,back
20255,Ring of the 2nd Circle,4,9,-315.18,-316.0,-0.82,recomputed,20251;202519;202523;202524;202526,back
202520,Ring of the 2nd Circle,4,8,-315.18,-307.5,7.68,recomputed,20251;202519;202524;202526;20255,back
202545,Path to Enlightenment (Fragment 3),1,5,,-1115.0,,FIXED_was_error,202540;202541;202542;202543;202544,back
20264,Mark of the 1st Tenet,3,10,-342.24,-364.95,-22.71,recomputed,202616;202617;202619;202620;202621,back
20264,Ring of the 1st Circle,4,10,-449.16,-467.48,-18.32,recomputed,202616;202617;202619;202620;202621,back
20266,Ring of the 1st Circle,4,10,-449.16,-448.2,0.96,recomputed,202612;202613;202614;20268;20269,back
202632,Patron Pin,1,5,-365.26,-369.0,-3.74,recomputed,202625;202626;202627;202628;202629,back
202634,Elven Bismuth,2,8,-63.35,-65.28,-1.93,recomputed,202628;202629;202630;202632;202633,back
202634,Oil of Enchantment,2,8,-86.79,-87.67,-0.88,recomputed,202628;202629;202630;202632;202633,back
202645,Ring of the 1st Circle,8,10,-898.32,-756.86,141.46,recomputed,202640;202641;202642;202643;202644,back
20275,Bead of Need,1,1,,-96.0,,FIXED_was_error,20272,forward
20275,Blood Cult Mark,1,1,,-70.0,,FIXED_was_error,20272,forward
20275,C/UC/R Set,1,1,,-117.0,,FIXED_was_error,20272,forward
20275,Gloves of Elder Horror,1,1,,-61.0,,FIXED_was_error,20272,forward
20275,Lenses of Timestep,1,1,,-51.0,,FIXED_was_error,20272,forward
20275,Mask of Foggy Health,1,1,,-59.0,,FIXED_was_error,20272,forward
20275,Natasha's Nightcap,1,1,,-89.0,,FIXED_was_error,20272,forward
20275,Spirit Pet Owl,1,1,,-79.0,,FIXED_was_error,20272,forward
20275,Tobin's Cosmic Ring,1,1,,-61.0,,FIXED_was_error,20272,forward
20271,Patron Code,1,4,,-404.25,,FIXED_was_error,202714;202719;202720;20274,forward
20272,Patron Code,1,5,,-422.0,,FIXED_was_error,202713;20273;20275;20276;20277,back
20274,Chosen Ultra Rare,10,10,,-593.42,,FIXED_was_error,202713;20273;20275;20276;20277,back
