Item,Category,Starting Bid,Current Bid,Bid Count,High Bid,Average Bid,Median Bid,Low Bid
Aragonite (2 of 15),Trade,0.50,0.50,1,15.00,15.00,15.00,15.00
Aragonite (3 of 15),Trade,0.50,0.50,1,15.00,15.00,15.00,15.00
Aragonite (4 of 15),Trade,0.50,0.50,1,16.00,16.00,16.00,16.00
Aragonite (5 of 15),Trade,0.50,0.50,1,15.00,15.00,15.00,15.00
Aragonite (6 of 15),Trade,0.50,,0,,,,
Aragonite (7 of 15),Trade,0.50,,0,,,,
Aragonite (8 of 15),Trade,0.50,,0,,,,
Aragonite (9 of 15),Trade,0.50,,0,,,,
Aragonite (10 of 15),Trade,0.50,,0,,,,
Aragonite (11 of 15),Trade,0.50,,0,,,,
Aragonite (12 of 15),Trade,0.50,,0,,,,
Aragonite (13 of 15),Trade,0.50,,0,,,,
Aragonite (14 of 15),Trade,0.50,,0,,,,
Aragonite (15 of 15),Trade,0.50,,0,,,,
Bead of Asgard,Augment - Player,0.50,,0,,,,
Bead of Divine Choice,Augment - Player,0.50,,0,,,,
Bifrost Charm,Augment - Player,0.50,,0,,,,
Darkwood Plank 10x (1 of 5),Trade,0.50,0.50,1,10.00,10.00,10.00,10.00
Darkwood Plank 10x (2 of 5),Trade,0.50,0.50,1,10.00,10.00,10.00,10.00
Darkwood Plank 10x (3 of 5),Trade,0.50,0.50,1,10.00,10.00,10.00,10.00
Darkwood Plank 10x (4 of 5),Trade,0.50,0.50,1,10.00,10.00,10.00,10.00
Darkwood Plank 10x (5 of 5),Trade,0.50,0.50,1,10.00,10.00,10.00,10.00
Deathward Greaves,Augment - Player,0.50,,0,,,,
Dwarven Steel 10x (1 of 4),Trade,0.50,,0,,,,
Dwarven Steel 10x (2 of 4),Trade,0.50,,0,,,,
Dwarven Steel 10x (3 of 4),Trade,0.50,,0,,,,
Dwarven Steel 10x (4 of 4),Trade,0.50,,0,,,,
Elven Bismuth (1 of 20),Trade,0.50,,0,,,,
Elven Bismuth (2 of 20),Trade,0.50,,0,,,,
Elven Bismuth (3 of 20),Trade,0.50,,0,,,,
Elven Bismuth (4 of 20),Trade,0.50,,0,,,,
Elven Bismuth (5 of 20),Trade,0.50,,0,,,,
Elven Bismuth (6 of 20),Trade,0.50,,0,,,,
Elven Bismuth (7 of 20),Trade,0.50,,0,,,,
Elven Bismuth (8 of 20),Trade,0.50,,0,,,,
Elven Bismuth (9 of 20),Trade,0.50,,0,,,,
Elven Bismuth (10 of 20),Trade,0.50,,0,,,,
Elven Bismuth (11 of 20),Trade,0.50,,0,,,,
Elven Bismuth (12 of 20),Trade,0.50,,0,,,,
Elven Bismuth (13 of 20),Trade,0.50,,0,,,,
Elven Bismuth (14 of 20),Trade,0.50,,0,,,,
Elven Bismuth (15 of 20),Trade,0.50,,0,,,,
Elven Bismuth (16 of 20),Trade,0.50,,0,,,,
Elven Bismuth (17 of 20),Trade,0.50,,0,,,,
Elven Bismuth (18 of 20),Trade,0.50,,0,,,,
Elven Bismuth (19 of 20),Trade,0.50,,0,,,,
Elven Bismuth (20 of 20),Trade,0.50,,0,,,,
Enchanter's Munition 10x (1 of 2),Trade,0.50,,0,,,,
Enchanter's Munition 10x (2 of 2),Trade,0.50,,0,,,,
Ioun Stone Warden Wrath (1 of 8),Premium,0.50,86.00,3,100.00,61.83,85.00,0.50
Ioun Stone Warden Wrath (2 of 8),Premium,0.50,86.00,2,100.00,92.50,92.50,85.00
Ioun Stone Warden Wrath (3 of 8),Premium,0.50,86.00,2,100.00,92.50,92.50,85.00
Ioun Stone Warden Wrath (4 of 8),Premium,0.50,86.00,2,100.00,92.50,92.50,85.00
Ioun Stone Warden Wrath (5 of 8),Premium,0.50,86.00,2,100.00,92.50,92.50,85.00
Ioun Stone Warden Wrath (6 of 8),Premium,0.50,86.00,2,100.00,92.50,92.50,85.00
Ioun Stone Warden Wrath (7 of 8),Premium,0.50,86.00,2,100.00,92.50,92.50,85.00
Ioun Stone Warden Wrath (8 of 8),Premium,0.50,86.00,3,100.00,61.83,85.00,0.50
Minotaur Hide 10x (1 of 4),Trade,0.50,,0,,,,
Minotaur Hide 10x (2 of 4),Trade,0.50,,0,,,,
Minotaur Hide 10x (3 of 4),Trade,0.50,,0,,,,
Minotaur Hide 10x (4 of 4),Trade,0.50,,0,,,,
Mystic Silk 10x (1 of 5),Trade,0.50,,0,,,,
Mystic Silk 10x (2 of 5),Trade,0.50,,0,,,,
Mystic Silk 10x (3 of 5),Trade,0.50,,0,,,,
Mystic Silk 10x (4 of 5),Trade,0.50,,0,,,,
Mystic Silk 10x (5 of 5),Trade,0.50,,0,,,,
Oil of Enchantment (1 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (2 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (3 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (4 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (5 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (6 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (7 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (8 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (9 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (10 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (11 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (12 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (13 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (14 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (15 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (16 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (17 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (18 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (19 of 20),Trade,0.50,,0,,,,
Oil of Enchantment (20 of 20),Trade,0.50,,0,,,,
Philosopher's Stone 10x (1 of 5),Trade,0.50,,0,,,,
Philosopher's Stone 10x (2 of 5),Trade,0.50,,0,,,,
Philosopher's Stone 10x (3 of 5),Trade,0.50,,0,,,,
Philosopher's Stone 10x (4 of 5),Trade,0.50,,0,,,,
Philosopher's Stone 10x (5 of 5),Trade,0.50,,0,,,,
Pick Your Purple (1 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (2 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (3 of 34),Ultra Rare,0.50,21.00,3,55.00,28.33,20.00,10.00
Pick Your Purple (4 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (5 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (6 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (7 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (8 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (9 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (10 of 34),Ultra Rare,0.50,11.00,3,55.00,24.00,10.00,7.00
Pick Your Purple (11 of 34),Ultra Rare,0.50,7.50,3,55.00,22.33,7.00,5.00
Pick Your Purple (12 of 34),Ultra Rare,0.50,7.50,3,55.00,22.33,7.00,5.00
Pick Your Purple (13 of 34),Ultra Rare,0.50,6.50,3,55.00,22.00,6.00,5.00
Pick Your Purple (14 of 34),Ultra Rare,0.50,6.50,3,55.00,22.00,6.00,5.00
Pick Your Purple (15 of 34),Ultra Rare,0.50,6.50,3,55.00,22.00,6.00,5.00
Pick Your Purple (16 of 34),Ultra Rare,0.50,6.50,2,55.00,30.50,30.50,6.00
Pick Your Purple (17 of 34),Ultra Rare,0.50,1.50,2,55.00,28.00,28.00,1.00
Pick Your Purple (18 of 34),Ultra Rare,0.50,1.50,2,55.00,28.00,28.00,1.00
Pick Your Purple (19 of 34),Ultra Rare,0.50,1.50,2,55.00,28.00,28.00,1.00
Pick Your Purple (20 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (21 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (22 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (23 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (24 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (25 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (26 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (27 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (28 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (29 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (30 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (31 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (32 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (33 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Pick Your Purple (34 of 34),Ultra Rare,0.50,0.50,1,55.00,55.00,55.00,55.00
Random Ultra Rare (1 of 9),Ultra Rare,0.50,0.50,1,10.00,10.00,10.00,10.00
Random Ultra Rare (2 of 9),Ultra Rare,0.50,0.50,1,5.00,5.00,5.00,5.00
Random Ultra Rare (3 of 9),Ultra Rare,0.50,,0,,,,
Random Ultra Rare (4 of 9),Ultra Rare,0.50,,0,,,,
Random Ultra Rare (5 of 9),Ultra Rare,0.50,,0,,,,
Random Ultra Rare (6 of 9),Ultra Rare,0.50,,0,,,,
Random Ultra Rare (7 of 9),Ultra Rare,0.50,,0,,,,
Random Ultra Rare (8 of 9),Ultra Rare,0.50,,0,,,,
Random Ultra Rare (9 of 9),Ultra Rare,0.50,,0,,,,
Shirt of Cat's Gift (1 of 4),Premium,0.50,0.50,1,100.00,100.00,100.00,100.00
Shirt of Cat's Gift (2 of 4),Premium,0.50,0.50,1,100.00,100.00,100.00,100.00
Shirt of Cat's Gift (3 of 4),Premium,0.50,0.50,1,100.00,100.00,100.00,100.00
Shirt of Cat's Gift (4 of 4),Premium,0.50,0.50,1,100.00,100.00,100.00,100.00
Wish Ring,Premium,0.50,,0,,,,
